2025-07-08 06:08:55 status unpacked mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:55 status half-installed mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:55 status unpacked mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:55 install mount:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:55 status half-installed mount:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:55 status unpacked mount:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:55 install ncurses-base:all <none> 6.2-0ubuntu2
2025-07-08 06:08:55 status half-installed ncurses-base:all 6.2-0ubuntu2
2025-07-08 06:08:55 status unpacked ncurses-base:all 6.2-0ubuntu2
2025-07-08 06:08:55 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2025-07-08 06:08:55 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2025-07-08 06:08:55 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2025-07-08 06:08:55 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2025-07-08 06:08:55 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2025-07-08 06:08:56 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2025-07-08 06:08:56 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2025-07-08 06:08:56 status half-configured perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:56 status unpacked perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:56 status half-installed perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:56 status unpacked perl-base:amd64 5.30.0-9build1
2025-07-08 06:08:56 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2025-07-08 06:08:56 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2025-07-08 06:08:56 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2025-07-08 06:08:56 install sed:amd64 <none> 4.7-1
2025-07-08 06:08:56 status half-installed sed:amd64 4.7-1
2025-07-08 06:08:56 status unpacked sed:amd64 4.7-1
2025-07-08 06:08:56 install sensible-utils:all <none> 0.0.12+nmu1
2025-07-08 06:08:56 status half-installed sensible-utils:all 0.0.12+nmu1
2025-07-08 06:08:56 status unpacked sensible-utils:all 0.0.12+nmu1
2025-07-08 06:08:56 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2025-07-08 06:08:56 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2025-07-08 06:08:56 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2025-07-08 06:08:56 install tar:amd64 <none> 1.30+dfsg-7
2025-07-08 06:08:56 status half-installed tar:amd64 1.30+dfsg-7
2025-07-08 06:08:56 status unpacked tar:amd64 1.30+dfsg-7
2025-07-08 06:08:56 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2025-07-08 06:08:56 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:56 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2025-07-08 06:08:56 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2025-07-08 06:08:56 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
